epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1562.87,0.57579,1.92981,0.89173,0.04318,1,0.04636,0.0421,0.4575,0.87656,0.83929,0.003331,0.003331,0.003331
2,3106.95,0.45616,0.82968,0.84851,0.12701,1,0.13474,0.12756,0.34241,0.62194,0.81223,0.00659836,0.00659836,0.00659836
3,4649.77,0.45728,0.62026,0.85138,0.15887,1,0.16913,0.16002,0.3435,0.41018,0.81345,0.00979971,0.00979971,0.00979971
4,6186.12,0.42483,0.43272,0.84335,0.23283,1,0.24595,0.23708,0.29435,0.2862,0.79965,0.009703,0.009703,0.009703
5,7725.39,0.36812,0.34062,0.82608,0.28001,1,0.2968,0.28978,0.26034,0.23062,0.79059,0.009604,0.009604,0.009604
6,9269.93,0.3353,0.2986,0.81796,0.30584,1,0.32233,0.31653,0.23479,0.2067,0.78552,0.009505,0.009505,0.009505
7,10806.1,0.31134,0.27633,0.81068,0.33748,1,0.35414,0.34909,0.21366,0.18852,0.78181,0.009406,0.009406,0.009406
8,12408.9,0.29613,0.26038,0.80802,0.45077,1,0.46762,0.46318,0.1991,0.17726,0.77966,0.009307,0.009307,0.009307
9,14014.2,0.28388,0.24918,0.80482,0.40709,1,0.42464,0.42141,0.18478,0.16753,0.77625,0.009208,0.009208,0.009208
10,15623.4,0.27169,0.24136,0.80225,0.46695,1,0.48854,0.48565,0.17643,0.15499,0.77438,0.009109,0.009109,0.009109
11,17224.5,0.26178,0.23136,0.80088,0.51494,1,0.53375,0.53116,0.16633,0.15033,0.7736,0.00901,0.00901,0.00901
12,18835.5,0.25445,0.22444,0.79903,0.5076,1,0.52784,0.52554,0.16107,0.14408,0.77245,0.008911,0.008911,0.008911
13,20436.4,0.24645,0.21742,0.79803,0.61796,1,0.63584,0.63391,0.15313,0.13861,0.77068,0.008812,0.008812,0.008812
14,22049.5,0.24175,0.21605,0.79613,0.54278,1,0.56044,0.55901,0.14796,0.13325,0.77027,0.008713,0.008713,0.008713
15,23653.8,0.23499,0.20609,0.79496,0.59683,1,0.62201,0.62073,0.13933,0.126,0.76864,0.008614,0.008614,0.008614
16,25257.1,0.23074,0.20552,0.79344,0.61027,1,0.62927,0.62827,0.13307,0.12321,0.769,0.008515,0.008515,0.008515
17,26866.1,0.22856,0.20148,0.79487,0.62513,1,0.6453,0.64404,0.13112,0.11972,0.76767,0.008416,0.008416,0.008416
18,28467,0.22394,0.19866,0.7923,0.61788,1,0.64066,0.63964,0.12568,0.11575,0.76792,0.008317,0.008317,0.008317
19,30064.7,0.21983,0.19618,0.79121,0.65344,1,0.67543,0.67477,0.12023,0.11061,0.76629,0.008218,0.008218,0.008218
20,31673.6,0.21551,0.19123,0.79104,0.70976,1,0.73245,0.73179,0.11611,0.10763,0.76611,0.008119,0.008119,0.008119
21,33276.9,0.21209,0.18648,0.79112,0.73029,1,0.74658,0.74594,0.11352,0.10408,0.76604,0.00802,0.00802,0.00802
22,34887.3,0.20895,0.18378,0.7905,0.74979,1,0.76874,0.76813,0.11182,0.10198,0.76546,0.007921,0.007921,0.007921
23,36492.1,0.20539,0.18189,0.79006,0.76554,1,0.78193,0.78126,0.10666,0.09864,0.76542,0.007822,0.007822,0.007822
24,38099.1,0.20308,0.1769,0.78957,0.79335,1,0.80797,0.80729,0.10441,0.09578,0.76489,0.007723,0.007723,0.007723
25,39699.7,0.19945,0.1751,0.78853,0.80411,1,0.82158,0.821,0.10201,0.09442,0.76438,0.007624,0.007624,0.007624
26,41315.7,0.19786,0.17425,0.78949,0.83454,1,0.85229,0.85185,0.10069,0.09286,0.76452,0.007525,0.007525,0.007525
27,42882.4,0.19446,0.17146,0.78726,0.83178,1,0.84924,0.84872,0.09831,0.09099,0.76386,0.007426,0.007426,0.007426
28,44490.1,0.19267,0.16927,0.7869,0.83615,1,0.85495,0.85444,0.09598,0.08877,0.76374,0.007327,0.007327,0.007327
29,46159.7,0.19222,0.17035,0.78829,0.85594,1,0.87166,0.87119,0.09472,0.08753,0.76358,0.007228,0.007228,0.007228
30,47844.6,0.18723,0.16419,0.78724,0.86626,1,0.88026,0.87982,0.09272,0.08585,0.7634,0.007129,0.007129,0.007129
31,49478.9,0.18555,0.16179,0.78611,0.86356,1,0.87712,0.87675,0.09109,0.08375,0.763,0.00703,0.00703,0.00703
32,51071.6,0.18575,0.16376,0.7864,0.87563,1,0.89048,0.89006,0.09026,0.08308,0.76279,0.006931,0.006931,0.006931
33,52683.2,0.18415,0.16267,0.78586,0.89376,1,0.90686,0.90645,0.08896,0.082,0.76243,0.006832,0.006832,0.006832
34,54289,0.18326,0.16134,0.78655,0.89587,1,0.90744,0.90702,0.0872,0.08096,0.7624,0.006733,0.006733,0.006733
35,55900.3,0.17936,0.15576,0.78556,0.89672,1,0.90855,0.90812,0.08669,0.08024,0.76237,0.006634,0.006634,0.006634
36,57524.4,0.17813,0.15574,0.78505,0.89575,1,0.90745,0.90702,0.08562,0.07904,0.76226,0.006535,0.006535,0.006535
37,59170.2,0.17592,0.15351,0.78333,0.90089,1,0.91315,0.91275,0.08496,0.07819,0.76207,0.006436,0.006436,0.006436
38,60782.6,0.17544,0.15408,0.78416,0.8998,1,0.9122,0.91178,0.08404,0.07767,0.76184,0.006337,0.006337,0.006337
39,62387.9,0.16998,0.14959,0.78334,0.90314,1,0.91482,0.91441,0.08323,0.07651,0.76174,0.006238,0.006238,0.006238
40,63990.9,0.17056,0.15016,0.78477,0.90198,1,0.91465,0.91427,0.08242,0.07593,0.76173,0.006139,0.006139,0.006139
41,65640.5,0.16873,0.14865,0.78389,0.90733,1,0.91983,0.91946,0.08152,0.07538,0.76163,0.00604,0.00604,0.00604
42,67307.2,0.16764,0.14785,0.78313,0.90986,1,0.92276,0.92239,0.08096,0.07467,0.7616,0.005941,0.005941,0.005941
43,68945.7,0.16614,0.14604,0.78303,0.91222,1,0.92514,0.92476,0.08042,0.07421,0.76148,0.005842,0.005842,0.005842
44,70644.9,0.16491,0.1455,0.78294,0.91476,1,0.92663,0.9263,0.07964,0.07336,0.7614,0.005743,0.005743,0.005743
45,72325.9,0.16413,0.14547,0.783,0.91767,1,0.92966,0.92934,0.07899,0.073,0.76133,0.005644,0.005644,0.005644
46,74023.4,0.16272,0.14399,0.78197,0.92028,1,0.93171,0.93137,0.07853,0.0725,0.76123,0.005545,0.005545,0.005545
47,75717.3,0.16401,0.14337,0.78198,0.92188,1,0.93349,0.93318,0.07805,0.07227,0.76112,0.005446,0.005446,0.005446
48,77379.8,0.15897,0.14039,0.7803,0.92204,1,0.93338,0.93305,0.07763,0.07175,0.76104,0.005347,0.005347,0.005347
49,78976.5,0.15876,0.1407,0.78196,0.92254,1,0.93354,0.93322,0.07727,0.07132,0.76105,0.005248,0.005248,0.005248
50,80586.5,0.155,0.13684,0.78065,0.92355,1,0.9341,0.93378,0.07691,0.07113,0.76105,0.005149,0.005149,0.005149
51,82186.5,0.15366,0.13533,0.78175,0.92337,1,0.93387,0.93355,0.07656,0.07074,0.76105,0.00505,0.00505,0.00505
52,83796.1,0.15418,0.13641,0.78082,0.92247,1,0.9325,0.93219,0.07623,0.07031,0.761,0.004951,0.004951,0.004951
53,85400,0.15132,0.1336,0.77988,0.92482,1,0.93478,0.93447,0.07598,0.0702,0.76097,0.004852,0.004852,0.004852
54,87012.1,0.15033,0.13259,0.78084,0.92774,1,0.93693,0.9366,0.07567,0.06986,0.76094,0.004753,0.004753,0.004753
55,88617.6,0.14972,0.13136,0.78028,0.92909,1,0.93791,0.9376,0.07537,0.06965,0.76083,0.004654,0.004654,0.004654
56,90233.4,0.1488,0.13036,0.78086,0.93101,1,0.93987,0.93956,0.07506,0.06924,0.7608,0.004555,0.004555,0.004555
57,91833.5,0.14713,0.12743,0.78001,0.93294,1,0.94177,0.94148,0.07481,0.069,0.76075,0.004456,0.004456,0.004456
58,93444,0.1455,0.12713,0.77956,0.93488,1,0.9435,0.94321,0.07455,0.06867,0.76072,0.004357,0.004357,0.004357
59,95146.5,0.14401,0.12462,0.77884,0.93596,1,0.94447,0.94418,0.07428,0.06846,0.76069,0.004258,0.004258,0.004258
60,96845.5,0.14274,0.12449,0.77781,0.93805,1,0.94622,0.94591,0.07397,0.0683,0.76062,0.004159,0.004159,0.004159
61,98521.3,0.14193,0.12478,0.77862,0.93948,1,0.94741,0.94708,0.07369,0.06776,0.76058,0.00406,0.00406,0.00406
62,100217,0.14019,0.12374,0.77771,0.94093,1,0.94827,0.94793,0.07344,0.06748,0.76055,0.003961,0.003961,0.003961
63,101902,0.14025,0.12374,0.77867,0.94092,1,0.94827,0.94793,0.0732,0.06729,0.7605,0.003862,0.003862,0.003862
64,103584,0.1385,0.12111,0.77807,0.94129,1,0.94856,0.94824,0.07291,0.06703,0.76046,0.003763,0.003763,0.003763
65,105274,0.13787,0.12003,0.77899,0.94277,1,0.94996,0.94967,0.0726,0.0668,0.76045,0.003664,0.003664,0.003664
66,106966,0.13581,0.11864,0.77885,0.94376,1,0.95098,0.95068,0.07227,0.06665,0.76043,0.003565,0.003565,0.003565
